,sale_price,price_class
26,150000,0
27,150000,0
35,355000,0
51,67500,0
52,435000,0
59,3800000,1
61,3375000,1
63,80000,0
64,115000,0
65,110000,0
91,435000,0
101,450000,0
103,344760,0
112,450000,0
114,350000,0
116,443949,0
128,450000,0
130,355000,0
131,360000,0
135,450000,0
136,463500,0
144,300000,0
159,260000,0
161,390000,0
167,455000,0
173,460000,0
175,360000,0
182,333000,0
184,417000,0
185,403000,0
188,440000,0
191,350000,0
192,240000,0
199,450000,0
200,350000,0
214,144544,0
216,310000,0
238,350000,0
260,450000,0
322,405600,0
327,285000,0
345,350000,0
368,450000,0
395,365570,0
396,312029,0
408,350000,0
428,450000,0
429,450000,0
440,450000,0
468,430350,0
469,100000,0
474,370000,0
480,75000,0
482,4500000,1
486,75000,0
489,312029,0
490,350000,0
502,185000,0
503,302000,0
504,200000,0
505,109600,0
510,2200000,1
511,2800000,1
515,4250000,1
516,3500000,1
517,3200000,1
519,4500000,1
520,4500000,1
522,55000,0
529,5500000,1
530,370000,0
531,450000,0
533,410000,0
540,295000,0
541,440000,0
549,3300000,1
557,390000,0
559,400000,0
645,445000,0
651,1600000,1
652,1600000,1
656,3750000,1
661,3250000,1
665,6500000,1
673,115000,0
674,125000,0
675,112000,0
679,125000,0
680,125000,0
681,179000,0
682,125000,0
683,175000,0
685,165000,0
686,330000,0
687,109000,0
688,5180407,1
689,5180407,1
690,5180407,1
691,5180407,1
692,5180407,1
693,215000,0
694,5180407,1
695,229000,0
696,5180407,1
697,5180407,1
698,5180407,1
699,5180407,1
700,5180407,1
701,5180407,1
702,5180407,1
703,5180407,1
704,5180407,1
705,220000,0
706,5180407,1
707,5180407,1
708,5180407,1
709,5180407,1
710,5180407,1
711,210000,0
712,5180407,1
713,5180407,1
714,5180407,1
715,5180407,1
716,259000,0
717,5180407,1
718,5180407,1
719,5180407,1
720,5180407,1
721,5180407,1
722,5180407,1
723,5180407,1
724,5180407,1
725,5180407,1
726,290000,0
727,2719141,1
728,2719141,1
729,2719141,1
730,2719141,1
731,2719141,1
732,2719141,1
733,2719141,1
734,170000,0
735,2719141,1
736,2719141,1
737,2719141,1
738,2719141,1
739,2719141,1
740,2719141,1
741,2719141,1
742,2719141,1
743,2719141,1
744,2719141,1
745,2719141,1
746,2719141,1
747,2719141,1
748,2719141,1
749,2719141,1
750,2719141,1
752,115000,0
753,225000,0
754,185000,0
755,240000,0
756,130000,0
757,138000,0
758,162000,0
759,170000,0
760,325000,0
761,150000,0
762,350000,0
763,315000,0
764,265000,0
765,250000,0
766,179000,0
767,227000,0
768,175000,0
769,115000,0
770,155000,0
771,175000,0
772,185000,0
773,185000,0
775,240000,0
776,140000,0
777,165000,0
778,132000,0
779,170000,0
780,127000,0
781,145000,0
782,150000,0
783,225000,0
784,152000,0
785,220000,0
786,155000,0
787,170000,0
788,149500,0
789,104000,0
796,134870,0
797,127870,0
799,215000,0
800,222500,0
801,230000,0
802,195500,0
803,155000,0
804,190000,0
805,1601546,1
806,1601546,1
807,210000,0
808,186345,0
809,1601546,1
810,1601546,1
811,1601546,1
812,1601546,1
813,1601546,1
814,1601546,1
815,1601546,1
816,1601546,1
817,200000,0
818,1601546,1
819,1601546,1
821,230000,0
824,2745000,1
829,250000,0
844,40000,0
853,400000,0
869,261000,0
883,285000,0
888,1800000,1
889,1850000,1
903,8241000,1
906,150000,0
919,212000,0
936,453000,0
939,400000,0
946,375000,0
948,405000,0
954,411340,0
957,223439,0
964,400000,0
967,465000,0
975,450000,0
988,1900000,1
1015,337500,0
1023,410000,0
1066,450000,0
1080,415000,0
1128,2900000,1
1129,2900000,1
1143,6950000,1
1145,109000,0
1146,50000,0
1147,109000,0
1148,160000,0
1150,75000,0
1152,215000,0
1153,269000,0
1154,249000,0
1155,275000,0
1156,220000,0
1157,189999,0
1158,199000,0
1159,118000,0
1160,200000,0
1161,225000,0
1162,165000,0
1163,230000,0
1164,135000,0
1165,220000,0
1166,170000,0
1167,135000,0
1168,180000,0
1169,108000,0
1170,228250,0
1171,214968,0
1172,331071,0
1174,210000,0
1175,155000,0
1176,235000,0
1178,180000,0
1179,90000,0
1180,285000,0
1182,235000,0
1183,150000,0
1184,300000,0
1185,350000,0
1187,335000,0
1189,300000,0
1190,80000,0
1192,255000,0
1196,2088888,1
1205,1950000,1
1217,430000,0
