,subset
0,train
1,train
2,val
4,train
6,train
8,val
10,test
11,train
12,train
16,train
19,train
23,test
24,test
26,train
27,train
28,train
34,val
35,train
36,test
38,train
39,train
41,train
44,train
46,train
47,train
51,train
52,test
59,train
60,train
61,train
63,train
64,train
65,val
69,train
76,train
82,test
86,train
90,test
91,train
98,train
99,train
100,train
101,val
103,train
108,test
110,train
111,train
112,test
113,train
114,train
115,train
116,train
118,train
120,train
122,train
124,test
125,test
128,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,test
138,train
139,train
141,train
142,train
143,train
144,test
145,train
146,train
147,train
148,test
150,train
153,train
156,test
158,val
159,train
161,train
162,train
164,test
167,train
168,train
169,train
173,train
174,train
175,test
179,train
180,val
182,train
184,train
185,train
188,test
189,train
191,train
192,train
193,train
194,train
195,train
196,test
198,test
199,val
200,train
202,train
204,train
205,train
208,train
209,test
211,train
212,train
213,train
214,train
215,train
216,train
217,test
218,train
220,train
221,train
222,train
223,train
224,train
226,train
229,train
232,train
233,train
238,val
240,train
241,train
242,train
244,train
246,train
248,test
249,train
251,test
253,train
255,train
257,train
258,train
259,test
260,val
261,test
263,train
264,train
266,val
269,train
270,train
271,train
272,train
273,train
276,train
279,train
280,train
281,train
282,train
285,train
286,train
289,train
292,test
293,train
295,test
297,train
299,train
300,train
301,train
302,train
303,test
304,train
306,train
307,train
309,train
311,train
312,train
313,test
314,train
316,train
319,train
320,test
322,train
323,train
324,train
325,train
326,train
327,test
328,train
329,val
333,train
335,train
336,train
340,train
341,train
342,train
345,train
347,train
348,train
349,test
351,train
353,train
354,train
355,test
357,val
359,val
360,train
362,val
364,train
365,train
368,train
370,val
374,train
375,val
376,test
378,train
379,train
380,train
382,test
383,train
385,val
387,train
394,train
395,train
396,train
397,train
398,train
399,train
403,train
408,test
409,train
410,train
412,train
414,test
415,test
416,train
417,train
418,val
419,train
422,train
423,train
427,train
428,val
429,train
431,test
432,train
434,train
435,train
436,train
440,train
441,train
442,train
444,test
448,train
450,train
452,train
455,train
457,train
460,train
466,train
468,train
469,train
471,train
474,train
478,train
479,train
480,train
482,train
486,train
489,train
490,train
491,test
496,test
498,train
