,subset
2,train
4,train
19,train
26,train
27,train
35,val
51,train
52,train
59,train
61,train
63,train
64,train
65,train
76,val
91,train
101,train
103,train
111,train
112,val
114,train
116,train
118,train
120,val
128,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
142,train
144,train
148,train
159,train
161,val
167,train
173,val
175,train
182,train
184,train
185,val
188,train
191,train
192,train
193,train
194,train
195,val
199,train
200,train
202,train
209,val
214,train
215,train
216,train
218,val
222,train
238,train
257,val
260,train
270,train
271,train
297,train
322,train
327,train
329,train
345,train
368,train
395,train
396,train
408,val
428,val
429,train
431,train
432,train
440,train
468,train
469,train
474,train
478,train
479,train
480,val
482,train
486,train
489,val
490,train
502,train
503,val
504,train
505,val
510,train
511,train
515,val
516,train
517,train
519,train
520,train
522,train
529,val
530,train
531,train
533,train
540,train
541,train
544,train
549,train
557,val
558,train
559,train
563,train
596,train
645,train
649,train
651,val
652,train
656,train
661,val
665,train
673,train
674,train
675,train
679,train
680,train
681,train
682,train
683,val
685,train
686,train
687,train
688,train
689,train
690,train
691,train
692,train
693,train
694,val
695,train
696,train
697,train
698,train
699,train
700,train
701,val
702,train
703,train
704,val
705,train
706,train
707,train
708,train
709,train
710,train
711,val
712,train
713,val
714,train
715,train
716,train
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,train
725,train
726,train
727,train
728,val
729,val
730,train
731,val
732,train
733,train
734,train
735,train
736,train
737,train
738,train
739,train
740,val
741,train
742,train
743,train
744,train
745,train
746,train
747,train
748,train
749,train
750,train
752,train
753,val
754,train
755,train
756,train
757,train
758,train
759,train
760,val
761,train
762,train
763,train
764,train
765,train
766,train
767,train
768,val
769,val
770,train
771,train
772,val
773,train
775,train
776,train
777,val
778,train
779,train
780,train
781,train
782,val
783,train
784,val
785,train
786,train
787,train
788,train
789,train
796,train
797,train
799,train
800,train
801,train
802,train
803,val
804,train
805,train
806,train
807,train
808,val
809,train
810,train
811,train
812,train
813,train
814,train
815,train
816,train
817,train
818,train
819,val
821,train
824,val
825,train
826,train
827,val
829,train
836,train
844,train
851,train
853,val
869,train
883,train
888,val
889,val
901,train
903,val
906,train
919,train
929,train
936,train
937,train
939,train
940,train
946,train
948,train
949,val
950,train
951,train
954,train
957,train
960,train
961,train
964,train
967,train
969,train
975,train
988,train
994,train
1015,train
1023,val
1054,train
1066,train
1079,train
1080,train
1090,train
1093,train
1128,train
1129,val
1143,train
1145,train
1146,train
1147,val
1148,val
1150,val
1152,train
1153,val
1154,train
1155,val
1156,train
1157,train
1158,train
1159,train
1160,val
1161,train
1162,val
1163,train
1164,train
1165,train
1166,train
1167,train
1168,train
1169,train
1170,train
1171,train
1172,train
1174,train
1175,train
1176,train
1178,train
1179,train
1180,val
1182,train
1183,train
1184,train
1185,train
1187,train
1189,train
1190,train
1192,train
1196,train
1198,train
1205,train
1213,train
1217,val
1222,train
1231,train
1247,train
1251,train
1257,train
1266,train
1283,train
1284,train
1288,train
1292,train
1302,train
1356,train
1359,train
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1372,train
1382,train
1386,train
1392,train
1393,train
1394,train
1398,val
1401,train
1402,val
1403,val
1407,train
1410,val
1411,train
1415,train
1423,train
1434,train
1440,val
1450,train
1451,train
1454,train
1458,train
1459,train
1460,train
1469,val
1483,train
1484,train
1486,val
1493,train
1497,train
1498,train
1499,val
1514,train
1521,train
1553,train
1559,train
1578,train
1585,val
1618,val
1626,train
1655,val
1680,val
1682,train
1683,train
1689,train
1701,train
1702,train
1708,train
1709,train
1712,train
1715,val
1717,val
1719,train
1720,val
1721,val
1722,train
1726,train
1743,train
1744,train
1750,train
1765,train
1778,train
1781,train
1785,train
1786,train
1790,train
1791,train
1793,train
1794,train
1804,train
1805,train
1806,train
1807,train
1808,train
1812,train
1815,train
1816,train
1852,train
1853,train
1859,train
1862,train
1863,train
1864,train
1866,train
1867,val
1868,train
1869,train
1872,val
1876,train
1877,train
1883,train
1886,train
1887,val
1889,train
1890,train
1891,train
1892,train
1893,val
1895,train
1896,val
1897,train
1898,train
1899,train
1905,train
1911,train
1916,train
1917,train
1921,train
1939,train
1940,train
1941,train
1942,train
1943,train
1944,train
1945,train
1946,train
1947,train
1948,train
1949,train
1950,val
1951,train
1952,train
1955,val
1958,train
1961,train
1966,train
1971,train
1978,train
1982,train
1989,train
1992,train
1993,train
1998,train
2000,train
2001,train
2003,train
2005,train
2008,train
2009,val
2010,train
2011,train
2012,train
2013,train
2014,train
2015,train
2016,train
2017,train
2018,train
2019,val
2020,val
2021,train
2022,val
2029,train
2030,val
2031,train
2034,train
2036,train
2041,train
2045,train
2046,train
2050,train
2054,train
2076,train
2095,train
2104,train
2116,train
2121,train
2127,val
2134,val
2135,val
2136,train
2137,train
2138,train
2140,train
2141,val
2142,train
2144,train
2145,train
2146,train
2147,train
2148,train
2149,val
2150,val
2151,train
2155,val
2156,train
2157,train
2159,train
2162,train
2168,train
2181,train
2187,train
2192,train
2195,train
2202,train
2203,train
2204,train
2206,val
2225,train
2226,train
2242,train
2245,val
2256,train
2259,train
2266,train
2272,train
2273,train
2281,train
2296,train
2300,train
2303,train
2305,train
2308,train
2310,train
2311,train
2312,train
2314,train
2316,train
2317,val
2318,train
2351,train
2352,train
2353,train
2354,val
2355,train
2356,train
2360,train
2362,train
2378,train
2379,train
2396,train
2428,train
2440,train
2441,val
2449,train
2450,train
2451,train
2452,train
2453,train
2454,train
2455,train
2456,train
2457,train
2458,train
2459,train
2460,train
2461,train
2462,train
2463,train
2464,train
2465,val
2466,train
2467,train
2468,train
2469,train
2470,train
2471,val
2472,train
2473,val
2474,train
2475,train
2476,train
2477,val
2478,train
2480,train
2481,train
2482,train
2483,train
2484,train
2485,train
2486,train
2487,val
2488,train
2489,train
2490,val
2491,val
2494,val
2495,train
2496,train
2497,train
2499,train
2501,train
2502,val
2503,train
2504,train
2507,train
2509,train
2510,train
2511,train
2512,val
2513,train
2514,train
2515,train
2516,val
2517,train
2518,train
2519,train
2521,train
2522,val
2523,train
2524,train
2526,train
2528,val
2529,val
2530,train
2532,train
2533,train
2534,train
2535,train
2536,train
2537,train
2541,train
2545,train
2548,train
2549,train
2550,val
2551,train
2562,train
2565,train
2566,val
2567,train
2589,train
2591,train
2600,train
2616,train
2621,val
2622,train
2625,train
2626,train
2627,train
2628,train
2629,train
2631,train
2633,train
2634,train
2636,val
2637,train
2639,train
2646,train
2649,train
2650,train
2651,train
2652,train
2653,train
2654,train
2655,train
2656,train
2657,train
2659,train
2660,val
2661,val
2662,train
2663,train
2664,train
2665,val
2666,train
2667,train
2668,train
2669,train
2670,train
2671,train
2672,train
2673,train
2674,train
2675,train
2676,train
2677,train
2678,train
2679,train
2680,train
2681,train
2682,train
2683,train
2684,train
2686,train
2688,train
2689,val
2690,train
2691,train
2694,train
2696,val
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2704,train
2707,train
2709,train
2710,train
2711,train
2712,train
2713,train
2714,train
2715,val
2716,train
2717,train
2720,train
2721,train
2722,train
2723,train
2724,train
2725,train
2726,train
2727,train
2728,train
2729,train
2730,train
2731,train
2732,train
2733,val
2734,train
2735,train
2736,train
2737,train
2738,train
2739,train
2740,train
2741,val
2745,train
2746,train
2747,train
2754,train
2766,train
2779,train
2799,train
2810,train
2838,train
2858,train
2874,train
2891,train
2951,train
2953,train
3018,train
3027,train
3028,val
3029,train
3030,train
3031,train
3032,val
3033,train
3034,train
3035,train
3036,train
3037,train
3040,train
3041,train
3042,val
3043,train
3048,train
3049,train
3050,train
3059,train
3060,train
3062,val
3069,val
3073,train
3074,train
3075,train
3076,train
3079,train
3080,train
3081,train
3082,val
3084,train
3088,train
3093,train
3107,train
3111,train
3115,val
3141,train
3190,train
3191,train
3200,train
3203,train
3209,train
3210,val
3212,train
3213,val
3214,val
3215,train
3216,train
3217,val
3218,train
3219,val
3221,train
3222,train
3223,train
3224,train
3225,val
3228,train
3229,train
3230,train
3231,train
3232,train
3233,val
3238,val
3239,train
3240,train
3246,train
3252,train
3253,train
3255,train
3256,train
3257,val
3259,train
3260,train
3262,train
3263,val
3264,train
3265,train
3266,train
3267,train
3268,val
3269,train
3270,train
3271,val
3272,train
3273,val
3284,train
3285,train
3286,train
3287,train
3290,val
3297,train
3298,train
3299,train
3303,train
3305,train
3306,train
3308,train
3309,train
3310,train
3311,train
3312,val
3313,train
3314,train
3317,train
3318,train
3319,val
3320,train
3321,train
3322,train
3323,train
3326,train
3327,train
3343,train
3344,train
3345,train
3346,train
3347,train
3348,train
3349,train
3354,train
3358,train
3362,train
3364,train
3365,train
3369,val
3371,val
3373,train
3376,train
3378,train
3383,train
3384,val
3385,train
3389,train
3392,train
3395,train
3396,train
3397,train
3398,train
3408,train
3414,train
3416,train
3432,val
3448,train
3458,train
3465,train
3466,val
3471,val
3475,train
3478,train
3479,val
3480,train
3493,train
3494,val
3496,train
3509,train
3512,train
3515,train
3516,val
3523,train
3525,train
3533,train
3552,val
3553,val
3561,train
3571,train
3582,train
3588,train
3591,val
3599,train
3600,train
3601,train
3602,val
3603,train
3604,train
3605,train
3607,train
3608,train
3609,val
3625,train
3627,train
3628,train
3629,train
3636,train
3652,train
3667,train
3678,train
3681,train
3689,train
3698,train
3713,train
3719,train
3723,train
3724,train
3725,val
3726,train
3730,train
3731,train
3735,train
3736,train
3737,train
3738,train
3739,train
