n,column,dtype,n_unique,n_missing,variable_type
0,borough,Int64,5,0,categorical
1,neighborhood,string,252,0,categorical
2,building_class_category,string,44,0,categorical
3,tax_class_at_present,string,10,112,categorical
4,block,Int64,11742,0,categorical
5,lot,Int64,2647,0,categorical
6,easement,Int64,0,93427,categorical
7,building_class_at_present,string,157,112,categorical
8,address,string,90867,0,categorical
9,apartment_number,string,4787,69933,categorical
10,zip_code,Int64,184,7,categorical
11,residential_units,Int64,174,23126,numerical
12,commercial_units,Int64,47,40868,numerical
13,total_units,Int64,187,20159,numerical
14,land_square_feet,Int64,6356,43835,numerical
15,gross_square_feet,Int64,5852,43835,numerical
16,year_built,Int64,180,6109,numerical
17,tax_class_at_time_of_sale,Int64,3,0,categorical
18,building_class_at_time_of_sale,string,157,0,categorical
19,sale_price,Int64,9149,0,numerical
20,sale_date,datetime64[ns],365,0,date
21,location_lat,Float64,52490,7526,numerical
22,location_long,Float64,52639,7526,numerical
