epoch,RMSE_train,RMSE_val
1,1734424.0128227007,1403884.6738275904
2,1381379.4158593793,1235491.168997982
3,1191284.9355884595,1124720.1437370987
4,1064936.9843666807,1052780.757027787
5,977928.3434199052,1004818.3600870358
6,918340.0476599069,974332.7714082084
7,877965.5762181112,954959.9537572244
8,850835.1699359871,942976.4778063131
9,832682.885290673,935652.0181862486
10,820541.2220528595,931286.2354571767
11,812392.0714925767,928758.8974195617
12,806885.035082446,927367.3760921289
13,803125.7361683785,926666.2172238718
14,800525.5080408119,926377.7666416655
15,798698.256114285,926329.5177332956
16,797389.9489910818,926415.2603924441
17,796433.8564375575,926570.6310562622
18,795719.6570049027,926756.9848973354
19,795174.0776458951,926951.6086269013
20,794747.9490958124,927141.950348489
21,794408.1356280284,927321.1928388135
22,794131.9301174082,927486.3394961675
23,793903.467139425,927636.2321513752
24,793711.7237486164,927771.0901122108
25,793548.6331763164,927891.8027959941
26,793408.4310719165,927999.3997239438
27,793286.8750004629,928095.0152737596
28,793180.5033206502,928179.9946820659
29,793086.8431237527,928255.4351901205
30,793003.8741696033,928322.5039607733
31,792929.988132622,928382.0499083338
32,792863.9063647683,928434.9921195344
33,792804.5975245098,928482.2140245875
34,792751.1124381977,928524.2105621157
35,792702.6668808425,928561.758799058
36,792658.7243650322,928595.423878451
37,792618.7068597359,928625.629661383
38,792582.0774960787,928652.7999117862
39,792548.630018373,928677.3230266797
40,792517.8273225152,928699.5873370463
41,792489.5043241897,928719.8047032269
42,792463.3304929635,928738.3280817046
43,792439.0992877623,928755.3692636183
44,792416.6041268948,928771.0694546853
45,792395.7210989974,928785.7462472172
46,792376.284915191,928799.3996897285
47,792358.0889067771,928812.2767836351
48,792341.0504473436,928824.483398236
49,792325.169611568,928836.1606742063
50,792310.1156087811,928847.3791877759
