epoch,RMSE_train,RMSE_val
1,1694882.0224664607,1643556.3127867975
2,1617221.734311391,1578720.7624605435
3,1568914.7165012173,1524123.0413322935
4,1520662.375721217,1475494.266991686
5,1470554.7360253124,1436826.2516384274
6,1430648.0192349732,1396814.0584248619
7,1398853.7543787158,1362538.173490441
8,1361763.4396228052,1333345.389172163
9,1331669.747448561,1305769.7688316524
10,1309692.990502518,1278891.1933452352
11,1279775.2415241848,1254765.4694813157
12,1250210.2815778824,1234177.4248764506
13,1231536.8708533407,1216411.2191700086
14,1211827.4865097636,1196673.855170238
15,1191256.1713706132,1182694.6952559932
16,1170516.91830429,1161507.38730898
17,1163856.491633291,1148475.0432139712
18,1140036.3705610032,1137438.6815578237
19,1130156.4707526122,1122052.078781848
20,1116738.2337947635,1113012.2611460006
21,1108289.6644242941,1102226.9399526275
22,1099399.6780996956,1090807.8591576063
23,1083909.5409805062,1083104.06255601
24,1081447.1437099809,1072652.9424835728
25,1061041.2383659473,1071204.4720245213
26,1058563.3711698493,1064149.270892638
27,1045334.1239724901,1058951.965480336
28,1045524.0272322774,1051179.3619891896
29,1039759.5651391171,1043574.3524636852
30,1034000.5063585386,1042536.0943442998
31,1033751.4825512718,1034296.5317883133
32,1024689.5872359171,1031963.8901382807
33,1029009.2547851666,1027510.02690063
34,1019559.3420322984,1023677.6986115633
35,1011208.1737584055,1018271.8935713258
36,1006931.9675858374,1018306.1325266255
37,1006587.3929071529,1014644.3765365939
38,996664.2302339387,1011924.5336815718
39,994399.8572792297,1012365.7051375587
40,996446.883555289,1010086.4998365239
41,990829.4751376363,1005817.0499462945
42,985434.9825493308,1005704.4741062522
43,982618.6303270994,1002687.6766025733
44,982218.4233499187,1002795.6787355371
45,984599.8259752417,1003229.4218758406
46,981510.5355869546,998302.9559674425
47,980376.466198475,1002954.6271319223
48,982781.4517140334,997280.8277658472
49,981477.316675322,995934.1144901772
50,975199.4356527919,1001002.9167270194
