epoch,RMSE_train,RMSE_val
1,1668654.1334401167,1608618.653451544
2,1564748.5494055662,1508381.8137196186
3,1486146.7934333899,1448760.9674617143
4,1423451.2082855823,1388633.3000117128
5,1373179.2767665219,1359303.9645336517
6,1332887.7577355076,1335388.8005222194
7,1300996.0478186617,1312365.8271788543
8,1275383.689992602,1304526.8768793708
9,1255111.287595431,1295874.5527052004
10,1239246.6337230285,1292418.6717841313
11,1226670.2139299542,1295884.8692427175
12,1216780.8026611167,1297462.629091502
13,1209101.669997825,1302328.989327784
14,1202926.9364605711,1311088.2484044863
15,1198065.6243005123,1314630.6818786035
16,1194456.7999842053,1329911.965252515
17,1191383.3539069253,1331391.8427191188
18,1188941.3152247765,1348558.7280456284
19,1186982.037221317,1349619.3012602774
20,1185454.2560337086,1360130.6817052385
21,1184290.4532352164,1373403.0673044883
22,1183280.6329319563,1379423.9930834775
23,1182384.4860657074,1390229.112674103
24,1181743.1486481284,1398679.0567538382
25,1181132.0682608401,1414467.0913840109
26,1180757.972118225,1418679.31465362
27,1180194.538855112,1425987.5948071918
28,1180000.8665348974,1435394.5264863633
29,1179507.6852394908,1447825.7546811728
30,1179377.1170323414,1454256.7416439143
31,1179049.1797969409,1462669.8867725506
32,1178948.7011159915,1470690.4915575709
33,1178791.0425965483,1494065.9265427634
34,1178471.9165946862,1495257.1403366807
35,1178420.0899859003,1498655.926540171
36,1178139.1202909467,1504352.8340264882
37,1178007.1137544434,1514147.595395416
38,1177880.9425326998,1526355.4244405376
39,1177693.8367889803,1528425.1703948185
40,1177658.9201574358,1537904.7087583682
41,1177483.234657943,1543683.1211937277
42,1177330.3498515657,1550779.541160752
43,1177284.3749645425,1559701.650357805
44,1177204.777678917,1565796.3216029378
45,1177083.3248768891,1571764.5460647019
46,1177067.4337968763,1585264.9125410167
47,1176845.6908845191,1593852.6578413297
48,1176728.9318840716,1593008.5526869746
49,1176645.5296368846,1598412.083607871
50,1176667.6084802214,1608214.8316598604
51,1176636.4437828467,1612272.6387642068
52,1176563.294868176,1616364.957772855
53,1176536.3788471697,1624178.7471158183
54,1176448.8114113414,1627286.832720219
55,1176286.1337396973,1633125.5350695401
56,1176169.1931535162,1653012.9483486123
57,1176293.3272275245,1642809.7807697824
58,1176147.215274356,1648254.2977125568
59,1175982.0968311836,1656824.364164921
60,1176038.6158237772,1664301.417147282
61,1176002.1437803588,1662756.693097986
62,1176119.617808487,1669358.228899248
63,1175893.4872987028,1672488.722793258
64,1175837.351781448,1676279.948956303
65,1175740.0765827342,1683277.8726889947
66,1175690.4549267085,1684094.9601312904
67,1175608.048889824,1689008.875049774
68,1175640.852943511,1702399.6057239417
69,1175501.2787193642,1702780.9543587712
70,1175537.2629792222,1702883.736812769
71,1175473.0134951023,1705361.7549322338
72,1175383.3470242673,1709713.7505424137
73,1175410.5958038978,1712231.1788635657
74,1175449.2761668258,1718197.8155644387
75,1175367.0148840842,1721223.6921874126
76,1175305.0047635576,1726165.9583302634
77,1175292.1298074445,1729228.2459372648
78,1175260.9548127886,1736042.5308580308
79,1175218.389809729,1732063.4064170243
80,1175253.4500775388,1736718.5664838504
81,1175350.1627570624,1741438.2567816987
82,1175385.1852818346,1740713.8451039568
83,1175046.582216467,1743155.6992571636
84,1175154.7599072456,1745639.3865999943
85,1175174.3797972342,1750147.0962933127
86,1175126.9576247165,1752631.5160884734
87,1174967.3476504278,1753754.7965144564
88,1174953.3044445696,1761085.0139630288
89,1174893.62968649,1762733.247218325
90,1174935.183405203,1765700.395113825
91,1174834.5969011714,1763568.9404657974
92,1174869.8890928372,1765893.044259951
93,1174965.090865193,1772056.6660538276
94,1174806.1448723658,1770168.7351907676
95,1174957.0647381146,1776446.9679647703
96,1174929.9797485385,1775639.669944303
97,1174689.1772341034,1776999.7841399352
98,1174687.4680572064,1778225.0834461765
99,1174658.7244604426,1780288.3811206555
100,1174681.497026912,1781322.585883231
