epoch,RMSE_train,RMSE_val
1,1604775.8979771663,1548927.9569501493
2,1504784.297175934,1451909.6108694416
3,1429155.965421562,1394360.982172074
4,1368819.053016189,1336794.6423578153
5,1320443.3755484633,1308394.80639147
6,1281671.3450310049,1285426.7813240208
7,1250980.461241274,1263206.4260853797
8,1226340.7992076927,1255543.68879897
9,1206824.9511684778,1247277.8842134578
10,1191557.3031553128,1243913.9483588221
11,1179457.1146083472,1247155.1273871611
12,1169942.629162427,1248721.7697271286
13,1162551.6222979908,1253361.8478363298
14,1156609.4960882908,1261983.4268532614
15,1151931.898310406,1265091.9357203604
16,1148455.6773000318,1279962.7787792506
17,1145503.5582118514,1281120.6385937594
18,1143155.509793579,1297959.0117103746
19,1141267.4122801942,1298612.7557777027
20,1139796.3294985981,1308727.7699594572
21,1138680.82975447,1321239.7356552703
22,1137701.7649652315,1327177.205069758
23,1136844.9156987804,1337476.8841092312
24,1136232.202304369,1345667.1362096767
25,1135641.7316455967,1360602.1101310535
26,1135285.1643037524,1364792.78108038
27,1134738.4458025186,1371870.0937207018
28,1134551.2200649364,1380887.3075805553
29,1134077.445592522,1393103.1638407616
30,1133948.9144851689,1399015.1589723732
31,1133637.6738469296,1407016.9486457922
32,1133554.5505115802,1414763.746378377
33,1133397.47918277,1436949.8588898086
34,1133079.6136425976,1438822.0679671136
35,1133032.8879020638,1441611.453627241
36,1132763.612363404,1447082.5528776299
37,1132631.4584944518,1456469.1637901175
38,1132509.2113188554,1468440.7435116302
39,1132335.1983269595,1470198.7974226077
40,1132302.1743512505,1479267.5812644435
41,1132129.800565048,1484845.4898482133
42,1131982.091857516,1491754.0215999605
43,1131937.033575801,1500162.8518010254
44,1131868.0448375088,1506228.6045617948
45,1131751.1259515525,1511843.2455226402
46,1131733.3197851977,1524725.510770769
47,1131517.012483623,1532745.4631050373
48,1131405.7573977134,1532252.1197233042
49,1131324.1657634743,1537357.314671882
50,1131346.120481447,1546868.6051159399
51,1131315.7314745772,1550700.1439935141
52,1131242.151527534,1554644.8145364784
53,1131214.7901107466,1562114.8470808577
54,1131130.8159529406,1565136.6323587573
55,1130976.134008075,1570699.8719463567
56,1130866.3280234488,1590161.1694203247
57,1130981.884277053,1580070.4772909232
58,1130845.937920045,1585303.300606238
59,1130685.098578739,1593512.6394433526
60,1130735.5018432771,1600736.0808471094
61,1130699.9382838362,1599198.0287043205
62,1130814.4709807474,1605477.159639477
63,1130608.11924387,1608551.2240275992
64,1130545.506117534,1612207.0399570973
65,1130449.5633214128,1618834.0570831532
66,1130405.853833953,1619713.1710993692
67,1130324.4757929004,1624432.3754208283
68,1130356.262059583,1637573.9665001822
69,1130221.4902053298,1637466.160751428
70,1130255.3415716325,1637740.367213314
71,1130195.3196852808,1640128.8236875117
72,1130109.2638853574,1644305.8330198352
73,1130132.2653505113,1646706.9792413434
74,1130169.7288632516,1652400.7836888374
75,1130091.5010847026,1655448.6620016373
76,1130029.6698151508,1660060.3845060733
77,1130020.768668169,1662955.939812268
78,1129989.284496124,1669403.2430958191
79,1129945.4031600822,1665780.5370893094
80,1129984.7314747632,1670250.928639283
81,1130088.221717488,1674646.7428716877
82,1130108.712792583,1674079.9488918958
83,1129784.7282352773,1676397.8151245888
84,1129883.0003581687,1678798.493696973
85,1129908.3044136853,1683114.749077046
86,1129859.8150936547,1685549.7565484687
87,1129709.9545731184,1686625.8870209493
88,1129692.7738332758,1694090.4250854226
89,1129634.4283870116,1695126.143114664
90,1129685.1375881375,1698082.717525224
91,1129580.720455018,1696008.8861735149
92,1129611.5539899727,1698285.8382397715
93,1129700.2155613918,1704109.9835699813
94,1129553.7654794063,1702425.2613147206
95,1129701.8132209927,1708335.1013392499
96,1129676.661943294,1707636.645923084
97,1129437.073783049,1708948.0371782766
98,1129435.3335596523,1710125.1109367746
99,1129409.5285991486,1712154.7641062916
100,1129429.8722597142,1713106.203451145
