epoch,RMSE_train,RMSE_val
1,1629629.3228730129,1525111.0506183172
2,1470618.0038536862,1407869.235984527
3,1360117.090263973,1313764.7458516234
4,1275651.1084025654,1246175.9752734832
5,1209941.490861597,1187116.6990269513
6,1158009.398073907,1143515.0671958432
7,1116867.4088311808,1104136.0088862358
8,1084372.199397835,1082518.3180428906
9,1058938.016910856,1057106.3081884768
10,1038978.8349558983,1043060.2614872496
11,1023048.5660071872,1029274.7924885274
12,1010807.9717001431,1026026.0078771191
13,1000814.0624390116,1011956.4474177986
14,993140.3699374548,1009036.462096305
15,987157.172479544,1003124.4325489247
16,982385.8309983548,998891.5266719136
17,978692.4391600522,1006850.0225203803
18,975798.2047018703,994065.559397302
19,973398.5856998799,996344.0464711448
20,971528.0402674348,991820.9274209703
21,970200.9567023625,996049.0269500222
22,968971.7072536896,992137.3934906005
23,968074.0501801621,989774.5512942214
24,967311.7248601089,994016.7739910911
25,966600.5561971393,999895.1866536619
26,966224.7708964488,989452.162765178
27,965590.4914893978,989844.6648796949
28,965290.5649840914,990770.8265142994
29,965039.2992908512,993370.3129765554
30,964870.5376392524,991152.5487575356
31,964636.0913396289,989663.6465738496
32,964301.7312820507,997056.9450158306
33,964232.7218435048,989736.1035436266
34,964006.658885831,1002450.1190858455
35,963910.353738374,992346.9809260863
36,963752.2406105639,998765.1259339021
37,963676.0447577421,989645.4747601306
38,963712.5761102812,992995.1169336672
39,963648.7704679909,989477.6365082414
40,963444.1036686662,992855.5932676407
41,963364.9596702413,994179.8151965126
42,963452.4797607312,990880.4197426314
43,963190.6171802647,990195.3959456255
44,963255.2246575634,990586.8809791496
45,963142.5626995814,993345.8920611887
46,963159.3701396472,1001923.5086602278
47,962985.162304835,1000607.9850949976
48,962964.9698658594,995934.0097705441
49,962993.8228368057,990176.9485073639
50,962870.4366012817,990120.8253317435
51,962748.0978852526,992271.8819817111
52,962691.1167137562,989105.7755752855
53,962922.1382406558,991677.2861912786
54,962740.733404629,992418.0685025885
55,962733.0992238203,995161.9600433124
56,962638.9013179606,990888.0345177075
57,962560.0851063792,992642.0811969059
58,962565.3519250463,990246.2299944578
59,962530.9466401201,989928.3598424186
60,962407.7276697437,989306.5515037146
61,962411.216694387,994568.2746808458
62,962330.1160440732,995032.4527800615
63,962325.6872046076,992881.8296052447
64,962274.0536736653,989305.7815905637
65,962519.0724188692,989491.087487461
66,962214.9407204373,990607.3761997401
67,962393.8429147641,991940.0658634161
68,962343.4461625498,989439.8369931288
69,962148.2675963911,988802.0964058926
70,962154.1416014985,988951.3495638777
71,962038.895555494,987424.3259377356
72,962149.2934216354,989257.015404474
73,962068.9531871985,988377.9441198278
74,962105.7530632865,993316.5506632774
75,962072.9126853114,991689.2263700401
76,962070.3392829446,986993.4378829913
77,962050.2124515477,990485.6400974351
78,961970.8155033464,986980.5005797892
79,961888.6594104664,987745.0733299842
80,961933.7479136788,986682.0133046536
81,961983.68430481,993689.428797333
82,961981.7020079399,986229.4834604285
83,961826.5685981673,986122.6439202686
84,961828.5089060811,989198.071183785
85,961794.9064315618,986442.9790579104
86,961690.6814853348,986348.9676532021
87,961670.2418745968,986368.4946514393
88,961760.6963116179,986202.8924937356
89,961687.9379061869,990853.8538011558
90,961635.2376410151,987990.151406575
91,961650.5189818342,987328.281545163
92,961624.7212948122,985197.0695883669
93,961629.8634357672,986611.159990329
94,961534.5312339383,985318.5795909127
95,961500.0853439682,985023.0870348014
96,961659.5961936486,984643.0306137642
97,961573.3224803027,985936.391871636
98,961469.5532222919,985504.2010808695
99,961444.338225893,985513.7866831817
100,961488.3660377316,988002.6025183606
