epoch,RMSE_train,RMSE_val
1,1585292.9132173536,1489126.7000869429
2,1387257.3520665558,1348072.7114609978
3,1264120.382608992,1258768.5960754345
4,1172570.4688771055,1176232.9468344068
5,1100527.7168271784,1123927.2141925297
6,1042882.1827683618,1081441.5184115006
7,996725.6084232447,1040658.6041797441
8,959599.5541840057,1018600.8991913674
9,929824.3535648433,992624.0611685971
10,906125.262303354,975151.0511151648
11,887112.9323240194,964876.0322543641
12,871942.6160321578,953004.530114948
13,859845.5603950175,944799.8263720216
14,850297.2656068882,943875.2932157159
15,842195.7098501843,933753.5349809726
16,835944.9883133558,937094.2093197701
17,830820.2536003172,928514.6945302145
18,826541.3756228692,935775.7516515892
19,823039.7735074728,924704.0346919958
20,820125.4322178718,923948.1124147355
21,817786.0539537001,929794.4949992577
22,815693.5246662435,922766.8899411232
23,813861.1267503618,922161.2888619935
24,812327.6356339923,924594.4389767152
25,811046.4084472342,931470.2984919762
26,809945.3405936261,923785.4515660416
27,808776.5637068353,921976.3152368505
28,807924.5579557613,924354.8485266179
29,806939.8648518109,926309.914897921
30,806266.0505310637,923056.5051680148
31,805506.5319006039,924190.9241423067
32,804904.9209774078,923012.2210206442
33,804334.3756318997,926818.4635388276
34,803695.210584173,933152.0726083897
35,803216.4118975025,926265.4991930061
36,802694.9942609067,923578.5378835163
37,802218.8510652707,925026.945390462
38,801833.7997795144,929634.8958268104
39,801362.5510251343,924564.6956160109
40,801050.3651246921,926112.7034315944
41,800613.4163620713,925259.3715720897
42,800269.1555720797,928227.7532014076
43,799970.831176968,927544.3710309636
44,799699.8776394615,926830.7472589136
45,799430.4052598292,925832.4484078656
46,799152.5720275689,934727.973879768
47,798806.9232053777,933419.7917991254
48,798555.3144183614,926684.0761527614
49,798338.5956550612,927339.1804010681
50,798142.7778189625,929993.6102769508
51,798025.4955560311,927450.3653620697
52,797836.9091933715,927073.8120052677
53,797577.130589345,929416.2120616419
54,797380.2494588273,927558.1624027682
55,797226.0134680393,929190.3962488163
56,797003.2667264026,930332.5294446044
57,796940.2210860259,927929.4826570455
58,796815.5877988378,927955.6848388226
59,796612.8560980895,930934.8468788883
60,796560.1008268618,933512.6902900919
61,796392.8828265093,928596.6893022254
62,796383.2592705071,930050.9547973153
63,796249.9447744798,929638.0126383106
64,796072.5690796754,930567.589739944
65,796050.9218340975,937745.2751572476
66,795854.5635812191,929053.0838684652
67,795750.9122793151,929574.6333007453
68,795707.4434365369,931686.3106628073
69,795548.1420535806,937192.5176440997
70,795529.8598912243,930901.3728548088
71,795424.3022653714,931457.6038735469
72,795400.3021844384,930435.4218248157
73,795341.7849689825,930132.1050085606
74,795298.3821640734,933020.3626613114
75,795204.1866146151,937530.3509262359
76,795124.4575145192,935470.4069566353
77,795115.4278895067,932549.3697903774
78,795056.5600135047,941678.2235354848
79,795011.4443240529,930703.7630855435
80,794965.0964156433,934477.2912502291
81,794984.0111187547,937700.1322816544
82,794971.7038101256,931268.5940844811
83,794776.0142010922,932598.1256328663
84,794804.5793028265,931909.1033339739
85,794808.8597969577,932069.2779967004
86,794744.8236316409,931954.6578166046
87,794688.313745375,932223.1030042088
88,794635.7407929032,934331.9401343769
89,794599.0715664668,936710.2192942258
90,794625.1009695223,936413.2770507386
91,794564.6426555336,933343.1249555812
92,794550.9141168445,932331.1106645247
93,794555.1482171892,937946.286230594
94,794487.790247284,932798.4172973902
95,794473.8038529307,937561.8355974501
96,794553.6490354143,932624.8703576558
97,794408.8836046391,933018.4047942555
98,794383.601263183,933353.0213581845
99,794398.8212512963,932476.1093401539
100,794364.7510132915,933941.3748188114
