epoch,RMSE_train,RMSE_val
1,1731824.2393320636,1721568.3810439352
2,1696830.9815724937,1655501.3486135392
3,1594683.35439772,1529556.967392157
4,1428901.1683036694,1386464.5355938084
5,1244022.9904507317,1303370.595660608
6,1099386.5360403496,1297454.294902667
7,1018065.6578088461,1313778.5860745497
8,975940.9218365984,1323466.4991994416
9,950158.099077543,1321442.020715379
10,931615.7890368017,1306265.0331730137
11,916582.8026539208,1285847.1713498745
12,903808.2724212256,1269302.6830296037
13,892730.2085024372,1247192.636559474
14,882802.5421002283,1229759.4330413719
15,874037.2527354809,1199482.4969609957
16,866445.2304203892,1180801.4177454554
17,859531.6904410049,1155580.8453656542
18,853592.6722665039,1138283.8374562038
19,848136.2337552237,1117630.64215688
20,843334.0310218303,1101871.5734223363
21,838906.9244067603,1087844.957555202
22,834922.6727631097,1068782.9338564074
23,831113.3189581295,1051789.4512193701
24,827741.3351518156,1037371.5597332924
25,824388.0199153869,1025364.1127378442
26,821169.857187318,1008606.4809233163
27,818169.3946268702,999584.8167812539
28,815388.0364052852,987025.5284635731
29,812705.1913755491,982325.1918195261
30,810176.268726399,965134.0534842871
31,807756.8768857591,965033.747379373
32,805396.6041385109,948872.1790282659
33,803276.8249815538,942607.6766231555
34,801218.3629544171,936925.7958149535
35,799314.9460630503,931061.4229607859
36,797360.790353162,924268.9109148835
37,795746.986188317,919727.1939821969
38,793982.55794803,916733.7309127467
39,792297.1220312471,911353.7732782331
40,790715.4968138965,910110.9421474957
41,789342.7872975247,904207.4981562465
42,787850.0317932385,903866.9156841072
43,786559.8947942706,900514.6728343861
44,785263.4277393738,902702.1098622532
45,784116.0545267443,901040.5909292841
46,782944.9555099732,900002.8122580673
47,781771.8706032955,899394.2032202769
48,780689.6045552652,898537.6952045863
49,779756.852546517,897286.4253048672
50,778827.8703889349,898503.86673915
51,777805.3562378555,905955.310996968
52,776838.8182533192,898984.6858917403
53,775804.9683350353,896065.5420574968
54,775061.8650997407,900059.1222459981
55,774176.4107176753,896643.2595030284
56,773220.7714039545,896431.210916202
57,772351.3375821051,912619.5588414939
58,771589.4561778978,897912.4043731804
59,770954.932528095,895568.1589137786
60,770094.0369283124,897135.3791509881
61,769297.5566352743,899223.2398328481
62,768542.4491733038,896232.7456357324
63,767924.0181030877,896907.5022303923
64,767097.5934897291,902278.4364211657
65,766440.889464233,898795.8740254915
66,765812.4496474135,900117.8153374301
67,765147.2584661588,898613.3764497675
68,764558.5797657036,899166.0688045687
69,763874.901926739,899204.3108364887
70,763349.3758150984,900327.9014266002
71,762771.0312184974,900044.4069522467
72,762154.0400418078,901825.4889381763
73,761601.0856198522,902341.5566829388
74,760919.4017109409,908020.5037484159
75,760344.5286595994,906629.519641808
76,759787.0805745515,905986.1488093085
77,759304.8336448501,903902.5289022434
78,759020.5236204601,909295.2080208717
79,758198.1969380754,915077.6735272493
80,757633.7067628278,904260.1469710396
81,757069.3606591421,905087.6355247038
82,756503.1178794883,909905.8566477118
83,755898.4137925826,906221.0099462256
84,755394.4776238893,906385.6678991031
85,754893.1263462923,908130.8848606843
86,754174.4838575787,907718.5672569267
87,753633.1608813648,908583.3110502128
88,753183.1697094162,909382.6956922096
89,752536.7819031188,907729.7223071094
90,751890.0746111094,908454.8435093348
91,751406.3467058752,909784.3767701519
92,750661.6397396988,913170.7664343398
93,750127.8872360457,912417.0807997041
94,749485.8698005172,912889.3101751636
95,748870.0492375845,911605.3670905054
96,748440.9759565208,911019.4591019731
97,747682.8599553485,911659.1245246396
98,747020.919776997,920762.2759855594
99,746451.4117665977,910611.3628311263
100,745725.0020271357,919225.3505129851
