epoch,RMSE_train,RMSE_val
1,1732874.7740664254,1735950.2316358495
2,1724467.2911192707,1721418.1357385893
3,1708751.986791294,1706157.4128130325
4,1687176.1372884403,1702828.751493889
5,1660667.8039083132,1676709.5339299568
6,1630145.9371169193,1644762.7384625012
7,1595303.70116953,1631864.759900171
8,1557128.743667131,1596318.3070386264
9,1515652.854657092,1560793.9411501477
10,1470944.334528818,1537624.4382200788
11,1423727.7277528904,1502772.95290923
12,1373801.049533418,1510102.560718482
13,1319984.4726572628,1675351.7579348774
14,1264962.9448800678,2816083.858896037
15,1210142.7615647377,3112700.1345976614
16,1151643.1333867728,1347782.9773680542
17,1090579.2678249641,1707600.7697812717
18,1031013.1668876868,1237527.2232395927
19,973241.8304573256,1252172.6958392838
20,914073.6421815647,1318236.219579637
21,854127.8418053536,1879965.903501192
22,798187.4998767549,1933513.1637643154
23,748012.8009606458,3837296.0899683693
24,698490.7181362198,1068166.8438469814
25,653820.3065662727,1511042.659588775
26,618768.2888935767,1096614.0525145514
27,585394.2471637881,1032855.0226333436
28,572420.4551187141,1032106.5806949427
29,551948.8614904975,1036572.8513261008
30,545336.5717103793,1028552.330890259
31,546524.2805593059,1040813.6604110443
32,538779.9743676367,1036926.3310051833
33,534309.8285705551,1038136.0676212786
34,537079.5628375127,1080062.1139274044
35,530503.2798132886,1021473.0914843428
36,523338.61956966005,1025455.6712348833
37,522558.36372694134,1061920.413271235
38,519124.28975563357,1033373.489963318
39,510047.10184123577,1033358.7811444087
40,513252.81220738223,1015670.958324425
41,512528.6121152942,1011254.063441107
42,517474.74053294107,1032607.9622687902
43,511623.40677705,1054354.9786566906
44,504557.34560487675,4701820.130606701
45,496885.2021195634,1046817.1268224743
46,500877.11912331905,1027227.1985143997
47,499542.1135050847,1035428.648234732
48,495859.57168222463,1048749.6042444664
49,503084.2740015244,992309.7525749265
50,497024.0596391794,1049719.6456538145
51,502699.97760664497,1046959.5516166689
52,488125.2910502821,1036255.08486126
53,492955.4109559371,1011019.1773429338
54,488102.18160994106,1041937.5741087433
55,484046.063007965,1149077.8427578679
56,489225.6196431963,1041455.5796322677
57,484557.3201213354,1025843.4632268031
58,485578.17511489673,1030763.4463273963
59,487914.90875379374,8809881.419075077
60,485980.77650238137,1133672.4879236175
61,500634.18867214606,1065796.2594222864
62,494850.8435353684,3226375.2592158276
63,490262.1499785574,2163249.7829329167
64,488075.0688993849,4019252.683607866
65,482971.03243265534,1051344.6782682694
66,490588.27613045985,1039805.712874833
67,486212.31581188674,1048523.4355104438
68,490623.55947798543,1034383.7305854907
69,485023.3063801298,1039985.9178295564
70,484136.8127355594,1044365.1448551829
71,481386.84468783933,1026910.7216291927
72,480787.15639867034,1039989.9771176251
73,485641.0047359226,15006172.108705647
74,486292.18663038226,1033085.745937805
75,485354.1366253294,1067174.414612296
76,479698.31095732085,1053228.0964521887
77,482161.3328593125,1057004.5595860193
78,479833.3482357269,1040288.0780435628
79,493347.72570144315,1575339.7127728164
80,483549.8209235221,1090307.0078198898
81,480475.2545581041,1062869.8182112162
82,474671.5339915798,1041173.7121345727
83,478039.6090977744,1065234.4405688052
84,473409.0795092895,1045662.901829358
85,477434.39843326254,1050794.3347635963
86,488844.7568825827,49317231.430043764
87,504214.1988499847,19227867.06361811
88,492401.23317584186,1457736.5092797305
89,483775.5156858546,52493442.34639301
90,492120.42825449444,3719566.3143724883
91,481362.48037062184,56802468.50133629
92,477852.49733600207,1980395.750950066
93,475994.5506827552,1100932.2132754645
94,478527.85759754013,4243311.975261685
95,481788.63994380133,134729911.24152926
96,480111.91232674423,82458259.89779617
97,476302.00969009515,84828091.00809436
98,479930.9750395131,87769968.91451357
99,476520.9367664944,1509376.3945083448
100,479194.48822520045,8156782.581037602
