epoch,RMSE_train,RMSE_val
1,1649622.9073834151,1372259.1745896637
2,1095700.7784725772,1264014.362469647
3,989016.8327361735,1205062.9498085526
4,968917.111085849,1143020.8829139834
5,943244.050229998,1104016.0938530848
6,922119.8377176478,1080620.296682449
7,922089.9537798744,1049123.4896309795
8,917303.9628104955,1022426.5189203847
9,909119.2316799694,997739.2767572098
10,906808.6972640146,980024.5025452115
11,896821.103988669,963859.3095668183
12,902909.8725788454,950516.9875154473
13,887697.3855195134,944282.5928993106
14,889858.6076409937,932724.6131244131
15,888445.0890773355,926884.4073020178
16,886615.7671523055,923412.3322360339
17,882127.6778738627,922488.5860073784
18,880692.5420714287,918021.8113507897
19,880812.601675656,914194.264512534
20,874720.3964677688,920904.5595932131
21,871260.5626422289,970894.6746022067
22,870176.1090154826,915685.9680843541
23,868800.90773992,914583.4490774757
24,869554.1190337834,916903.7573819159
25,871129.2643200683,915005.1928920157
26,873729.538432552,914400.4600997912
27,868738.272518571,919268.9300638009
28,861476.1795594146,914498.8413721768
29,870327.3177083859,915246.948106298
30,876816.008849808,929932.5975362032
31,865102.765031324,915944.3034373858
32,861431.3813285909,920398.0060200931
33,866230.6718338132,920687.3325576077
34,862980.8924903079,916123.0405218329
35,871237.3203179196,919729.3243782598
36,860731.3645614492,916897.8592070627
37,853769.6157942718,921870.0589743525
38,857950.7382850653,920330.2035535882
39,863503.6288922548,928100.8877514283
40,851683.6593266814,921347.9358997158
41,867889.0024942715,921105.5025084324
42,864337.9676036388,918906.7060734472
43,864523.4145148749,922028.2246218919
44,855654.6592254186,922703.5511394402
45,856328.1454211904,936702.1515819865
46,850938.2413920709,925189.1337606226
47,847626.356333881,932708.1895775968
48,851458.4019968018,926416.9501047443
49,856988.8277863013,927403.964175267
50,860456.7903426421,929912.8462038621
51,858337.9037344469,929539.3720558471
52,856898.2604765443,929501.8490008506
53,846478.1210873259,926831.3274781117
54,863575.1498914231,927409.4759229366
55,858406.9894258394,933129.0227508964
56,847405.9269699071,929360.0739457625
57,854599.9121344071,930619.8627947553
58,848951.9505027885,935071.4997557127
59,853373.4833320294,934983.9329756778
60,852480.2153831578,929330.704857979
61,854408.2115610546,932205.8219892803
62,855304.1564630732,940406.6842474996
63,841667.7318596961,932843.0038122043
64,853844.9372893405,932922.0697434301
65,861293.8928423212,937126.6745459486
66,855371.6651566974,939809.6160688067
67,850872.6215513456,933636.7943598505
68,850279.7120699727,942315.4007908233
69,857978.8892229503,935879.8792614177
70,856361.0463351586,936630.9628961814
71,847753.4090797661,934931.8921437224
72,843791.6660302869,937696.5068172134
73,843526.0241393103,935801.8556605455
74,854996.6581254697,935213.1833466508
75,849165.3682803557,936313.7253363571
76,851777.0874303071,936853.9620119362
77,853740.4392725797,940928.954603015
78,852925.1419168812,948465.7766495536
79,848249.6502398846,940188.3311804683
80,854659.992328867,940881.0820856973
81,847777.3011083897,936883.6194732691
82,861144.1368022712,939568.4118434492
83,843590.6476961713,947476.9807405826
84,842350.4750529581,946648.8747127092
85,849455.3478350833,944017.3930965558
86,846624.6196975338,950901.8071438393
87,856399.1041278937,941086.9647052097
88,844172.1252973326,942334.2568068169
89,851156.6032467388,944347.4631220398
90,847386.5141381368,940501.8449588096
91,852127.8047167097,1071003.4192788606
92,844560.8912016755,948584.1990331231
93,845835.0493809729,946644.1123831476
94,847676.9627009715,944150.7832018841
95,847487.8268685209,956026.0974945092
96,851942.58607011,947345.5978304265
97,843029.4240343221,943885.438017327
98,845438.5628137958,948059.9849790368
99,843975.7308093758,949639.2621862217
100,836955.2271992503,946946.2705557258
