epoch,RMSE_train,RMSE_val
1,1736930.3727293327,1727639.893737118
2,1731158.1142185093,1727887.925254413
3,1733541.7542672856,1723591.8220460436
4,1725479.2434995857,1716529.3984440425
5,1719821.2164262463,1717504.515128854
6,1713976.4679162127,1708360.1027792706
7,1701978.357614255,1696842.967565355
8,1692200.7879664123,1688947.151447907
9,1676950.5866323654,1685185.2011186585
10,1661460.8933708267,1671470.3778729273
11,1647369.6937876898,1658594.6618797493
12,1632461.2162209433,1637937.3746856134
13,1612933.391990461,1628593.0493281616
14,1591130.0116209786,1618953.634379935
15,1572717.4169500847,1589015.8730820364
16,1549451.3600695773,1574152.1600048707
17,1526246.1695885775,1563827.8839991738
18,1505264.804303589,1546473.801308426
19,1479041.0600580892,1517184.1889816807
20,1451398.4469429778,1502788.1197507519
21,1424900.89998544,1494424.7062625806
22,1397839.886504749,1469286.1094794755
23,1369396.9227332938,1452532.2391722212
24,1339002.9455093562,1414524.5348493136
25,1309007.853693707,1405466.1126900215
26,1285672.1446073712,1412280.9489710843
27,1252382.3614372027,1372945.8844008867
28,1221032.7759818137,1342290.1163767343
29,1190003.9558965196,1339697.8651780656
30,1162524.655460251,1324338.6002318289
31,1128110.9744158434,1302493.2154684465
32,1097976.670050427,1269580.1421005293
33,1069165.5071472172,1256194.1824585348
34,1037971.6699542947,1245508.2472565165
35,1010916.3313385656,1223420.4020313977
36,978203.1052857245,1209862.4279699463
37,949143.1238404767,1172975.4155673226
38,924077.3701050647,1182054.6561441226
39,896804.9813921397,1161225.8765012086
40,868572.8016561309,1166189.944615656
41,842326.979807028,1133013.698863934
42,821168.5211829869,1133638.1020178648
43,794910.4688555781,1116347.26257857
44,770452.5543435098,1105555.6930822919
45,751285.5880383613,1100578.4186290407
46,730582.8703619743,1109447.0128419835
47,707399.0188475925,1108662.022930343
48,688907.6640029135,1099841.5176015133
49,671471.0516258405,1095075.9107300888
50,655621.5624377133,1063920.0871443932
51,642323.5047442424,1061654.9432453716
52,624730.6934559493,1061755.4864280194
53,612652.0175394202,1056268.248757546
54,603439.265841248,1045318.7638712573
55,591239.206330601,1043350.2177326013
56,577969.2051116269,1060843.8762570107
57,571722.7597614672,1063522.1575626277
58,562691.063353032,1048779.3604884997
59,555362.7133971138,1054635.911211068
60,548850.5251349205,1025507.178826165
61,539292.7381550133,1051703.9387913945
62,530896.7339781654,1031170.7010888158
63,532656.7327720684,1030984.5901105086
64,524194.24542825494,1030993.4999652843
65,519694.9555459457,1032868.3075371549
66,516981.6427322602,1027659.2591606746
67,514440.000957328,1033468.459410994
68,510355.1823736188,1025928.1580045781
69,504454.60073289584,1024771.8531029236
70,501587.2447252067,1019520.9293990323
71,499895.0952053255,1022403.1709496992
72,494757.7648792313,1040433.5946184488
73,498886.3438886999,1023180.8350146778
74,496585.94908287184,1041876.7977939298
75,489635.1200794521,1057935.2210237954
76,490863.3463260819,1094490.3348292606
77,490625.3915591167,1030481.582857258
78,484010.17753137305,1032695.1630757259
79,485208.51571639517,1033727.0543168862
80,487993.1987051039,1034638.7983600846
81,484944.0115300211,1039264.4317310842
82,481286.5303137658,1036183.4624479715
83,480962.9643905205,1040232.7134098408
84,487171.3684309935,1045876.4573262625
85,480425.94320152316,1033041.9199238722
86,476706.2540939574,1016139.6340372387
87,474671.06562755647,1027468.1695222161
88,476523.53539256,1023225.1788614274
89,475436.4260471507,1034073.0056599808
90,479337.7173368048,1032257.1037669508
91,473907.6207009537,1032769.9334430684
92,470050.9595373157,1037260.2974939961
93,472245.4975149281,1035016.3211801703
94,474393.72044048586,1063676.0824637043
95,472941.3866366065,1030343.1749134201
96,471597.21061836695,1046928.4974043516
97,472831.71941307187,1071755.050064457
98,468995.97569941246,1052915.660516074
99,466738.53631091845,1045653.714386683
100,466547.3342989577,1070013.7421273305
101,465788.6043616468,1034800.0701352895
102,461745.6464817812,1044333.5949679426
103,466842.00298079645,1045394.7941659808
104,466179.5393980369,1057021.8093139485
105,465265.40067678236,1037910.6400276792
106,466881.3744910308,1076672.5154846297
107,462460.40581052884,1036843.0977050803
108,468366.25717706094,1035833.4233546756
109,471485.7839688095,1034291.1670511356
110,463790.56195700046,1169578.2573081632
111,460787.22453835036,1064244.939425757
112,460080.43199592934,1071241.1435464318
113,464320.7994210731,1036371.0902130246
114,460377.0160540481,1038602.53778238
115,459517.8548492629,1052093.1067137865
116,460195.95227102353,1028869.2125604044
117,462177.66783506906,1059989.5392087603
118,464130.9540486891,1022474.2446490604
119,458790.4892390372,1041688.426354061
120,457496.6028297702,1039251.7828720174
121,463768.9094513113,1016268.7019799439
122,460269.7480306468,1028113.848450647
123,461700.3349651447,1022277.0999267598
124,454309.1465339326,1020838.046187543
125,454012.326609494,1018870.9734943544
126,452173.31471601495,1037785.7108542849
127,458550.4640065097,1028560.0440123399
128,457039.72348209005,1030910.0187051567
129,454127.8078890857,1031841.4537023925
130,462301.75709832116,1085437.5849029736
131,456372.9483733938,1030958.6599820576
132,452315.96317316534,1034728.4496742773
133,451769.9266606032,1026529.3135895665
134,457424.9029764606,1025395.3852675562
135,455598.81414351333,1034425.271854215
136,454746.4590300734,1031322.501500541
137,450179.2941480203,1019605.5627623851
138,456696.05549253325,1034539.8482829616
139,449639.4485115336,1049093.4973013606
140,450522.10084506805,1035876.4189252178
141,452251.31691086286,1046594.2314332395
142,452135.93150171865,1035065.872238091
143,454039.35374209203,1032669.4504218989
144,456662.457259669,1034547.333874418
145,449906.9022691955,1031955.7507412806
146,457182.32809668226,1023753.4689901341
147,451746.3441387564,1028717.1616208866
148,453236.2420554929,1024954.0995147051
149,452487.86751362117,1041643.0911311866
150,454362.0539566517,1051703.372771366
151,447802.93656092224,1066701.6834785629
152,452837.1303917816,1063137.902776493
153,451175.11094128195,1038482.3039596454
154,447352.3915749248,1039088.7790623732
155,448146.5725942797,1033101.3401856244
156,448756.0000065221,1062151.959478492
157,449686.49161637475,1050439.8851021095
158,450377.22922641033,1044698.9940354431
159,447803.43316933594,1048090.4136062562
160,447380.35474820994,1068140.1185287756
161,449005.71423122525,1057924.8190251202
162,448264.0116290355,1040383.8005249152
163,448726.2510876977,1042800.3488044423
164,451924.24901007145,1034616.5228811429
165,447650.5802777702,1034085.8551796686
166,447945.0716988826,1047933.1988073795
167,445427.53287851874,1041200.8341961058
168,449601.11223540927,1054458.1526098289
169,443602.44180814235,1047375.92785526
170,448820.84833450784,1045967.046007346
171,445559.74034006085,1043134.7310461226
172,443768.59104454267,1034593.2281291361
173,443618.9525626475,1061285.980424378
174,447712.7847546689,1032311.9771541934
175,448113.42954277253,1033945.8221886355
176,447496.1700431827,1058056.8264814513
177,443751.8039933101,1061193.0866667635
