epoch,RMSE_train,RMSE_val
1,1797993.8973963014,1545975.1896862166
2,1344459.9434872563,1218874.7963133866
3,1066367.4362049152,1036505.1050576966
4,924835.4627414517,956808.5475649417
5,894972.9432330452,927126.581896273
6,888101.2637423071,919877.2045586664
7,876468.4426062829,923565.9327916624
8,879250.3313301594,915890.6529668266
9,873431.8963715599,919867.0759394171
10,875146.0527895734,914688.0955312946
11,871226.7967515411,914353.9974196719
12,880142.4899841571,918285.8513963213
13,874856.3283467693,914168.8908525966
14,877067.5637185653,915567.7843757209
15,880114.265305225,912475.7215400309
16,869447.4094031529,919706.511146536
17,871680.7880516476,918751.8419188793
18,868118.9332874255,915305.4492164534
19,874765.69189196,915537.3446335582
20,879117.214100156,916482.9854699977
21,876403.8046079655,918313.303782538
22,875073.2680848404,916711.4970196458
23,883971.6011313,921310.4908234429
24,876927.7883306793,918793.991958299
25,877025.3440173668,915267.2915121571
