epoch,RMSE_train,RMSE_val
1,1689105.53261293,1458244.1332396986
2,1256720.8071654327,1150097.030925652
3,1011244.4342691782,1000164.8674760243
4,910149.1527635966,942945.6486676914
5,882432.7671283822,927207.7508332927
6,876091.8906984086,917013.6129967392
7,868037.3815684409,916129.9174942384
8,872611.1433403519,917026.5900790446
9,879819.4466447328,920244.8110222265
10,874084.9308603101,916767.1684173687
11,880827.4568494686,917035.4994335461
12,872480.6406352619,914695.4932056168
13,878185.9893082819,922927.0859925321
14,867033.2489630457,914831.5543661576
15,884276.8103765676,919557.6005768571
16,877261.1850600014,918491.3378041915
17,877391.674917667,918705.8140783334
18,877985.5053755506,915702.6781745262
19,875040.3231980994,921620.4856982437
20,871085.3629950369,915193.8058531646
21,873518.1719990076,913712.2363282654
22,872455.0958144969,919236.4952430178
23,873040.3119340215,920012.986157623
24,879841.7909473077,919192.1909270843
25,870033.9026926116,919481.0128501839
